img,path_origin,Objeto,Classe,n_contorno,Área,Diâmetro,Minor,Centroide_X,Centroide_Y
006.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\006.JPEG,,,0,268.0000000000,8.115760077963412,3.474469507268025,775.0000,5.4375
006.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\006.JPEG,,,1,246.5000000000,49.062238337748624,6.093960964122037,54.0676,9.9730
006.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\006.JPEG,,,2,77.0000000000,14.715306997540758,3.825348832085284,251.1364,7.1818
006.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\006.JPEG,,,3,74.0000000000,11.038487529760703,9.731148721328724,346.1622,7.7027
007.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\007.JPEG,,,0,18194.5000000000,0.000000000000000,0.000000000000000,83.0000,0.0000
007.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\007.JPEG,,,1,18083.0000000000,4.828427124746190,0.828427124746190,91.5000,1.5000
007.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\007.JPEG,,,2,2132.5000000000,2.000000000000000,0.000000000000000,58.5000,0.0000
007.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\007.JPEG,,,3,2087.0000000000,2.828427124746190,0.000000000000000,59.5000,0.5000
007.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\007.JPEG,,,4,1765.5000000000,2.000000000000000,0.000000000000000,35.0000,0.5000
009.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\009.JPEG,,,0,9368.0000000000,6.414370635891564,1.935132614138100,298.5000,2.3333
009.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\009.JPEG,,,1,9333.0000000000,9.845606871947675,6.600200018295313,302.3684,3.6316
009.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\009.JPEG,,,2,1511.5000000000,2.309401076758503,1.333333333333333,322.3333,0.3333
014.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\014.JPEG,,,0,816.0000000000,4.472135954999580,0.000000000000000,99.0000,1.5000
014.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\014.JPEG,,,1,701.0000000000,10.839252384938138,5.598359819300724,101.0000,3.5263
014.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\014.JPEG,,,2,319.5000000000,2.309401076758503,1.333333333333333,81.6667,0.6667
014.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\014.JPEG,,,3,261.0000000000,0.000000000000000,0.000000000000000,226.0000,0.0000
015.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\015.JPEG,,,0,6957.5000000000,2.000000000000000,0.000000000000000,98.5000,0.0000
015.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\015.JPEG,,,1,6669.0000000000,2.828427124746190,0.000000000000000,99.5000,0.5000
015.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\015.JPEG,,,2,2154.0000000000,0.000000000000000,0.000000000000000,27.0000,0.0000
015.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\015.JPEG,,,3,2143.0000000000,4.472135954999580,0.000000000000000,28.0000,1.5000
016.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\016.JPEG,,,0,11184.5000000000,2.000000000000000,0.000000000000000,82.0000,0.5000
016.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\016.JPEG,,,1,10774.5000000000,4.680205767201096,1.046744465787899,83.2500,1.5000
016.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\016.JPEG,,,2,7879.0000000000,0.000000000000000,0.000000000000000,68.0000,0.0000
016.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\016.JPEG,,,3,7654.5000000000,2.000000000000000,0.000000000000000,69.5000,0.0000
