img,path_contorno,path_origin,is_good
001.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\001.JPEG,..\data_EP2/augmentedDataset\exponencial\001.JPEG,False
002.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\002.JPEG,..\data_EP2/augmentedDataset\exponencial\002.JPEG,False
003.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\003.JPEG,..\data_EP2/augmentedDataset\exponencial\003.JPEG,False
004.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\004.JPEG,..\data_EP2/augmentedDataset\exponencial\004.JPEG,False
005.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\005.JPEG,..\data_EP2/augmentedDataset\exponencial\005.JPEG,False
006.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\006.JPEG,..\data_EP2/augmentedDataset\exponencial\006.JPEG,True
007.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\007.JPEG,..\data_EP2/augmentedDataset\exponencial\007.JPEG,True
008.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\008.JPEG,..\data_EP2/augmentedDataset\exponencial\008.JPEG,False
009.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\009.JPEG,..\data_EP2/augmentedDataset\exponencial\009.JPEG,True
010.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\010.JPEG,..\data_EP2/augmentedDataset\exponencial\010.JPEG,False
011.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\011.JPEG,..\data_EP2/augmentedDataset\exponencial\011.JPEG,False
012.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\012.JPEG,..\data_EP2/augmentedDataset\exponencial\012.JPEG,False
013.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\013.JPEG,..\data_EP2/augmentedDataset\exponencial\013.JPEG,False
014.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\014.JPEG,..\data_EP2/augmentedDataset\exponencial\014.JPEG,True
015.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\015.JPEG,..\data_EP2/augmentedDataset\exponencial\015.JPEG,True
016.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\016.JPEG,..\data_EP2/augmentedDataset\exponencial\016.JPEG,True
017.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\017.JPEG,..\data_EP2/augmentedDataset\exponencial\017.JPEG,True
018.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\018.JPEG,..\data_EP2/augmentedDataset\exponencial\018.JPEG,False
019.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\019.JPEG,..\data_EP2/augmentedDataset\exponencial\019.JPEG,True
020.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\020.JPEG,..\data_EP2/augmentedDataset\exponencial\020.JPEG,True
021.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\021.JPEG,..\data_EP2/augmentedDataset\exponencial\021.JPEG,True
022.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\022.JPEG,..\data_EP2/augmentedDataset\exponencial\022.JPEG,True
023.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\023.JPEG,..\data_EP2/augmentedDataset\exponencial\023.JPEG,False
024.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\024.JPEG,..\data_EP2/augmentedDataset\exponencial\024.JPEG,False
025.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\025.JPEG,..\data_EP2/augmentedDataset\exponencial\025.JPEG,False
026.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\026.JPEG,..\data_EP2/augmentedDataset\exponencial\026.JPEG,False
027.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\027.JPEG,..\data_EP2/augmentedDataset\exponencial\027.JPEG,False
028.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\028.JPEG,..\data_EP2/augmentedDataset\exponencial\028.JPEG,True
029.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\029.JPEG,..\data_EP2/augmentedDataset\exponencial\029.JPEG,True
030.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\030.JPEG,..\data_EP2/augmentedDataset\exponencial\030.JPEG,False
031.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\031.JPEG,..\data_EP2/augmentedDataset\exponencial\031.JPEG,True
032.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\032.JPEG,..\data_EP2/augmentedDataset\exponencial\032.JPEG,True
033.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\033.JPEG,..\data_EP2/augmentedDataset\exponencial\033.JPEG,False
034.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\034.JPEG,..\data_EP2/augmentedDataset\exponencial\034.JPEG,False
035.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\035.JPEG,..\data_EP2/augmentedDataset\exponencial\035.JPEG,False
036.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\036.JPEG,..\data_EP2/augmentedDataset\exponencial\036.JPEG,False
037.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\037.JPEG,..\data_EP2/augmentedDataset\exponencial\037.JPEG,False
038.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\038.JPEG,..\data_EP2/augmentedDataset\exponencial\038.JPEG,False
039.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\039.JPEG,..\data_EP2/augmentedDataset\exponencial\039.JPEG,False
040.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\040.JPEG,..\data_EP2/augmentedDataset\exponencial\040.JPEG,False
041.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\041.JPEG,..\data_EP2/augmentedDataset\exponencial\041.JPEG,True
042.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\042.JPEG,..\data_EP2/augmentedDataset\exponencial\042.JPEG,False
043.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\043.JPEG,..\data_EP2/augmentedDataset\exponencial\043.JPEG,True
044.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\044.JPEG,..\data_EP2/augmentedDataset\exponencial\044.JPEG,True
045.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\045.JPEG,..\data_EP2/augmentedDataset\exponencial\045.JPEG,False
046.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\046.JPEG,..\data_EP2/augmentedDataset\exponencial\046.JPEG,False
047.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\047.JPEG,..\data_EP2/augmentedDataset\exponencial\047.JPEG,True
048.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\048.JPEG,..\data_EP2/augmentedDataset\exponencial\048.JPEG,False
049.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\049.JPEG,..\data_EP2/augmentedDataset\exponencial\049.JPEG,True
050.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\050.JPEG,..\data_EP2/augmentedDataset\exponencial\050.JPEG,True
051.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\051.JPEG,..\data_EP2/augmentedDataset\exponencial\051.JPEG,False
052.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\052.JPEG,..\data_EP2/augmentedDataset\exponencial\052.JPEG,True
053.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\053.JPEG,..\data_EP2/augmentedDataset\exponencial\053.JPEG,False
054.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\054.JPEG,..\data_EP2/augmentedDataset\exponencial\054.JPEG,False
055.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\055.JPEG,..\data_EP2/augmentedDataset\exponencial\055.JPEG,True
056.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\056.JPEG,..\data_EP2/augmentedDataset\exponencial\056.JPEG,True
057.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\057.JPEG,..\data_EP2/augmentedDataset\exponencial\057.JPEG,False
058.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\058.JPEG,..\data_EP2/augmentedDataset\exponencial\058.JPEG,True
059.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\059.JPEG,..\data_EP2/augmentedDataset\exponencial\059.JPEG,True
060.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\060.JPEG,..\data_EP2/augmentedDataset\exponencial\060.JPEG,False
061.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\061.JPEG,..\data_EP2/augmentedDataset\exponencial\061.JPEG,False
062.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\062.JPEG,..\data_EP2/augmentedDataset\exponencial\062.JPEG,False
063.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\063.JPEG,..\data_EP2/augmentedDataset\exponencial\063.JPEG,False
